DEFINITION_NAME	[FILL] is/is when	ACTION	[FILL] the/a	QUANTIFIER	ADJ	AGENT/OBJECT	SCOPE	QUANITIFIER	ACTION	OBJECT/PROPERTY	WHEN/WHERE	[FILL] by/through/due to (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
pollution	is when					humans			pollute	the environment		with	pollutants						# Q 663		3547-7689-fb87-ee96	
						hummingbirds			eat	nectar									#742		edcd-ed33-4439-04cb	
		improving	the			design	of something		helps	that something 				to	do its function				# Q 2138		c1b8-cab4-eb78-9161	
incomplete metamorphosis	is when		an			insect			reaches	the adult stage		without	being a pupa						#1079		a4a0-25e7-ae9c-5654	
		inventing	a			tool			allows; enables	that tool to be used									# Q 951		efcb-faab-cd79-cd07	
						jet streams		may	deflect	the air masses	moved by the prevailing westerlies								# Q 229		6aa0-5875-fa94-91e5	
			the			kidney			removes; filters	bodily waste; cell waste; byproducts	from the blood								#282		7762-fb32-6a1f-62ec	
			a			leaf			performs	photosynthesis; gas exchange									# 892		8958-fc28-d9ce-a1d6	
			a			leaf			absorbs	sunlight				to	perform photosynthesis				#1046		0514-7919-c1bf-6188	
			the			leaves	of a plant		tilt		in the direction of sunlight								#843		900a-fda3-7a86-85db	
					tinted	lenses			reflect	ultraviolet rays									#  Q 1901		6835-a29c-ba48-1fb7	
						light			enters	the eye						through	the pupil		# Q 971		be64-4c22-3323-47e2	
						light that enters the eye through the pupil			falls on	the retina									# Q 1997	Moved to IF-THEN	99ef-2926-54b2-c22f	
					denser	liquids; particles in liquids			settle		below liquids or particles in liquids							that are less dense	#2051		54ff-9d51-da43-e4f9	
feeling	is when		an			living thing			senses							through	touch				e58b-6fd8-4321-1a69	
				all		living things			eliminate	waste											4637-2b52-badf-1d50	
				all		living things			grow										# Q 308		866e-9867-c534-141c	
						Louis Pasteur			created; invented	a process called pasteurization									#1256	All uses replaced.	4d6a-b157-9fbe-589d	
			a			magnet			attracts	magnetic metals; ferromagnetic metals		through	magnetism						#  804		178a-9dd1-8569-86f1	
			a			magnet			will not attract	nonmagnetic metals; nonmagnetic materials									#  804		23a8-e177-f667-e30f	
			a			mammal		usually	nurses 	its young; its offspring									# Q 1711		40c7-9325-944b-d06d	
						mammals			birth; give birth to	live young									# add 'live young' versus 'egg' dimension?		e060-5559-9564-4cf4	
						matter	in the liquid state		drips										# Q 1110		b492-a3a6-e0aa-0ea9	
			a			microwave			cooks	food	faster than an oven does								#587		fa81-4952-705a-d338	
			a			mirror			reflects	light									#1002		4a90-d4de-70aa-2e38	
			a			monkey			births; gives birth to	live young									# Q 683		42cd-f6a8-2bbb-3df6	
			the			moon			reflects	sunlight	towards the Earth										a423-40e8-3886-4df5	
			the			moon			orbits	the Earth											a6a9-3e1b-7e02-ce06	
						mosquitos			lay	eggs	in water								#343		255a-a3ea-7373-252b	
			a			moth			undergoes	metamorphosis									#1321		fdca-4f63-cab2-1b60	
			a			mother			births	offspring											0bc0-292e-ad9a-9017	
			a			mouse			births; gives birth to	live young									# Q 683		1d87-acba-1519-cd97	
						muscles			push; pull	bones				to	move the bones				#837		e044-428c-b438-7117	
			a		compass's	needle			lines up with	Earth's magnetic poles									#1659		2d7b-fad0-6961-de51	
			the			North Star		does not	move		in the sky in the Northern Hemisphere each night								# Q 1576		a7ec-4506-0e8a-ce2e	
			a		white	object			reflects	all visible light									# 1347		902d-2137-8776-7a13	
			a		blue	object			reflects	only blue light									# 1077		c097-1dcb-a31f-8800	
			an			object; material; substance			comes from		that object or material's source								# Q 121 		27bb-0f7f-8143-a8d1	
					round	objects			roll										#1496		6b85-a565-613d-eac0	
						oceans			cover	70% of the surface	of the earth								# Q 67		3aef-09ab-a751-dd44	
			a		lack	of something that a living thing requires			prevents	the survival of that living thing									#1244		be10-2687-bb9c-5186	
						offspring			receive	genes	from their parents	through	inheritence; DNA; sexual reproduction						# Q 210		5524-96d8-a5d8-f0ce	
						oil			repels	water									#1090	Low quality. All uses replaced.	f54e-16f3-fa07-0bb6	
						one		should	use	safety goggles	when conducting an experiment								#1073	All uses replaced.	1bfc-e1e3-9ffc-9f57	
classifying	is when					one			sorts	something		by	kind; type						#528		0d00-93f4-5616-0efc	
			an			organism			breaks down	sugar				to	release energy				#2175		6891-0161-c8a9-b8c1	
adaptation	is when		an			organism			develops	a trait	over time			for	survival				# Q 1790		c6fe-fa08-c304-093d	
						organisms			move through	the stages of the life cycle									#164		2a41-18d2-9149-55f5	
					dead	organisms			rot										# Q 639		b150-d213-b73e-de9d	
					different	organisms			reproduce	differently									#855		1fb7-aefd-cae4-eba8	
					dead	organisms			decay										#1412		2e43-6a8c-1231-65f1	
					national	parks			limit	mining; logging; hunting									#548		ec15-e4f0-40a4-c40e	
				usually		people			learn	how to read and write	in school										1975-c17f-560c-aa4c	
						people		usually only	play on	the beach	when the temperature is hot								#1210		f06d-9af1-c14f-fb25	
a vehicle inspection	is when		a			person			examines	a vehicle					for	safety; pollution standards			#272		2f5b-92ef-b906-5fc4	
			a			physicist			studies	energy									#522		e303-f8e1-4293-664d	
			a			plane			travels		through the atmosphere								#2061		7c13-177b-1402-1e61	
			a			planet			is exposed to	the heat	of the star around which it revolves								#1683		38e7-c5c0-194b-1ed6	
						planets			orbit	stars											e35c-e251-2993-ac25	
						planets		have	cleared	their orbits									# Q 662		123d-9df4-bf21-0c14	
			a		native; indigenous	plant			lives		in a place					because of	nature, not human change		# 1031		8ed5-51e7-540b-87a2	
			a			plant			absorbs	carbon dioxide	from the air			for	photosynthesis				#1426		7b20-0992-8ec1-c73c	
				usually		plants			die or become dormant		during the winter								# 392		b462-24cc-7651-6d33	
						plants			control	the amount of water	in their leaves					through	transpiration		# Q 230		3944-665a-cd65-c185	
				usually		plants			store	the food they produce				for	future use				#445		9f6b-7d55-4edf-3f0b	
			a			tectonic plate			moves along	a fault line									#1318		d28e-0ebd-8be3-a9d7	
						pluto		has not	cleared	its orbit									# Q 662		f63b-aef7-81b2-c372	
			a			predator			eats	other animals				for	food				# 499		9bdc-0291-3f7e-751d	
				some		predators			move 				quickly	to 	catch prey				# Q 6		07b2-9ecc-9cbf-916e	
			a			prism			refracts	light									#731		592f-eeca-3145-0e73	
			a			producer			produces	its own food									#1300		606d-9382-a8e0-7000	
						products			are formed; are produced; are created										# Q 1193		30c3-cdda-8d6b-d470	
		pushing	a			button		sometimes	completes	a circuit									# Q 1904		7fb4-c254-3d90-1dad	
						quartz			scratches	glass							easily		#536		a54c-e068-073d-def8	
		reducing				bacteria	in food		prevents	illness	in people								#1256		b267-35c1-c2c8-f1f0	
			the			refrigerator			was invented		in 1923								#740	Moved to During	1416-bcaa-70fb-f51b	
						reptiles			lay	eggs									#776		4f6f-b06b-3c90-bbbd	
						roots			anchor	plants	into the soil										efd2-9d11-3f32-24cc	
			a		plant's 	roots			slowly break down	rocks	as the roots grow								# 1315		c083-9545-9c5e-f943	
			a			salamander			eats	insects									#896		cbd8-e54c-3cb6-1a48	
			a			satellite			orbits	a planet											6a7c-945a-f6fc-9043	
						scientists			make	observations									#898		6987-1a5d-58e9-399d	
						seals		every year	return to	the same beaches				to	give birth				#748		24ac-6c7a-db37-64ad	
						seasonal changes			are made in response to	changes	in the environment								# Q 509		4c74-590e-8dfe-012b	
						sediment			falls to	the bottom	of bodies of water								# 762		46c5-1cb0-c4c3-4a30	
						seeds		may	sprout		when buried in soil								#858		6433-f2de-3946-945e	
			the			skeletal system			protects	internal organs									#243		1910-6fcf-a49a-634a	
			a			skunk			produces	a bad odor									#512		8ec7-a491-c4e5-aeec	
					baking	soda			can react	chemically			with vinegar						#278		b39a-5a6f-9af1-b3de	
stirring	is when					something			moves	an object			in a circular motion	for	mixing						a12e-4e1e-756a-6e49	
		riding				something			is to move	that thing	over a surface								#Highly questionable. 		5961-40f8-e1b9-e456	
a revolution	is when					something			revolves around	something else									# 460		3678-1c03-c983-ba31	
echo	is when					sound			reflects off of	a surface									#1009		68c7-53c9-4730-b283	
					intense	sound energy			can move	objects									# 1055		fedb-a67f-5daf-3a1d	
			a			source of something			emits; produces; generates	that something									# 32		b877-a58b-f75a-3998	
						spring			follows	winter									#168		7f16-3900-214b-cfcc	
						squirrels			store	food	in the autumn			to	eat during the winter				Table requires refactoring		6081-1b3a-dd4e-4611	
						squirrels			gather	nuts	in the autumn			to 	eat during the winter						8b17-5532-4eed-68b0	
				usually		squirrels			sleep		through the winter										75c9-ca95-9505-7f16	
						stars			appear to move		relative to the horizon during the night								# Q 928		fc96-f0ff-1c18-337e	
						sugar			dissolves in	water	when they are combined										78d4-18c9-9484-0154	
						summer			follows	spring									#168		6089-585e-73e5-ebd5	
			the			sun			rises		in the east										5be6-58b4-ec52-40b2	
			the			sun			sets		in the west										e565-87e6-6f00-1598	
daylight	is when		the			sun			shines		on a location										ac73-12b7-56aa-d852	
friction	occurs when				two object's	surfaces			move against	each other									# 143, is this okay?		e9ed-3032-6736-3077	
						sweat			cools; helps to cool	a body											6641-7122-bf62-0870	
			the			nervous system			sends	observations in the form of electrical signals	to the rest of the body								#465		904b-3cbd-8469-b307	
			the			circulatory system			absorbs; carries	food; substances; oxygen	from the digestive and respiratory systems to the rest of the body								#1234		ea27-c3fc-7c64-eeb2	
			the			respiratory system			takes in	oxygen	from the air								#1274		a8c6-3b66-4842-24bc	
			the			circulatory system			brings	oxygen	from the lungs to the rest of the body								#1292		2edb-1e09-a137-4362	
			the		cellular	telephone			was invented		in 1973								#740		5deb-bf64-c55b-92ee	
			the			television			was invented		in 1927								#740		d02c-a651-7238-c2f5	
			the			smell	of rotting meat		attracts	flies									# Q 1558		fa71-3061-1c31-cead	
						cell theory			states that	all living things are made of cells									#549	Moved to MADEOF	84b9-648a-eadf-eaf7	
					shiny	things; objects			reflect	light											2827-1a44-52ad-a63e	
			an			threat			threatens										#1499		3125-5f0b-0b90-0577	
						timber companies			cut down	trees									#1218		d54a-daf9-1853-05ac	
			a			tire			moves against	the road											379e-4bd0-e3d5-5a1a	
					special	tissues	in plants		transport	food; water; minerals	throughout the plant								#1302		4cdf-2f38-c2ff-daa9	
						tunnels	in soil		loosen	that soil									#254		b964-cdbd-a226-4027	
			a			vehicle			transmits	something									# Q 935		0c4a-5373-ba1c-b533	
race	is when					vehicles; humans			compete										# 158, needs refactoring?		599c-ede6-83d2-982c	
			a			vine			climbs	objects									#438		a41a-a127-f2d9-ec5e	
						Vitamin D			strengthens; heals	bones									#1665		11e0-b0f3-137d-951c	
precipitation	is when					water			falls from	the sky											7975-13c2-aeb2-5a9a	
						water			absorbs	light energy											b665-c869-0fbf-4c19	
runoff	is when				cropland	water			enters; runs off into	bodies of water									#572		4ee7-8c52-99b5-7674	
						water		easily	passes through	pebbles									#1005		a224-d742-be36-390f	
						water			absorbs	solar energy	in the water cycle								#1019		3cac-554a-3149-cd7b	
evaporation	is when					water			is drawn back up into	the air	in the water cycle								#1401		68ad-c11b-2981-9be0	
						water 			flows down	a slope									# Q 693		9d72-710b-d88f-44ef	
hydropower	is when	falling				water			produces	electricity									#2189		b301-6de7-7042-2581	
			a			weather report			describes	weather											ff5e-bb4f-4d6f-449d	
				sometimes		weathering			smooths; rounds	rocks									# Q 602		e357-f8b5-992c-2d25	
						weeds			use up	nutrients									#1237		b5e7-965c-c67f-f9d9	
			a			windmill		does not	create	pollution									#1632		4ed1-58db-05c6-ad49	
						winter			follows	fall									#168		4be0-3791-43d4-1cad	
					dry	wood		easily	burns										#557		50c2-119a-8445-c8b7	
classifying	means								grouping	objects; materials		by	their properties						# Q 206		69c1-2991-2421-ce63	
		conservation	is		often				conserving	natural resources									# Q 1744		1b2f-e95c-68f1-e31e	
						Louis Pasteur			created; invented	pasteurization											fbee-1879-a1dc-7106	
						matter	with variable volume and shape		assumes; expands to fill; takes	the shape and size	of its entire container										02c3-9c98-38d9-3711	
live birth	means								developing	inside the mother								instead of an egg			292e-d25a-73fe-1e95	
digestion	is when				stomach	acid			breaks down	food											0323-62a6-1a45-17a9	
					no	light			shines through	an opaque object											e25c-9d2e-a369-8e52	
			the			immune system			attacks; gets rid of	bacteria; viruses	once they have invaded the body										18db-5ed3-9662-2caa	
					bright	colors			warn	predators				to	not eat an organism						ddff-8a8c-a555-b828	
fertilization	is when		an			egg cell			becomes fertilized												57d1-ae47-ec81-5c03	
a cold front	is when		a		cooler	air mass			moves into	an area of warmer air									# Q 2233		d7b0-6601-25df-12d7	
						albumen			protects	the embryo									# Q 2236		02fc-955d-241f-5fe9	
						reproduction			ensures	the continuation								of a plant or animal species	# Q 2238		85ec-94e2-04d2-8aae	
			a			solute		can be	dissolved in	a solvent	when they are combined								# Q 2248		7c08-85f6-fae2-8190	
						sodium chloride			dissolves in	water	when they are combined								# Q 2248		6d0b-5a2b-14b5-805d	
			the			respiratory system			performs	respiration									# Q 2232		d69f-a53c-a0d5-7861	
						living things			perform	biological processes									# Q 2242		3cd6-d0fb-647d-2a1e	
			an		erupting	volcano			releases	sulfur gas and ash	into the atmosphere								# Q 2250		b071-dc6e-dcc4-c885	
						food supply		often	limits	predator population size	in an ecosystem										354b-9f56-0401-44ca	
adapting	is when		a			living thing			responds to	a change	in an environment								# Q 2265		f3fb-5a6f-2277-6e10	
						photosynthesis			stores; captures	energy									# Q 2278		f70d-39c1-2156-4e24	
						respiration			releases	energy									# Q 2278		fbfd-cbb8-22fa-0fde	
						microwaves			harm	people that have pacemakers									# Q 2296		1e99-db4c-1ef4-be67	
						metal			rusts												988e-84e2-f0b3-0538	
						mosquitos			eat	blood of animals									# Q 2401		c74a-29b3-7a06-d1ad	
			the			immune system			defends	the body								against disease	# Q 2421		3076-bb8a-1b40-3520	
						oceans			regulate	the temperature								of nearby land	#2306		5a94-7eb8-8140-f2b4	
						ozone			absorbs	harmful ultraviolet rays								from the Sun	#2311		ea15-eb51-e38e-a2c3	
						fungi			absorb	nutrients								from decaying tissue	#2313		57be-0d7a-49ad-762b	
				most		insects			reproduce			by	sexual reproduction								92d8-956f-2c90-aa26	
						planets	in the solar system		orbit	the Sun									# Q 2229		4f0f-94ba-06b4-84be	
						x-rays		can	pass through	some parts of the body									#2367		96b0-206c-fac5-d7e1	
inertia	is when		a		stationary	object			resists	being put into motion									#2373		78bb-6c70-bd70-c323	
						liquids			expand	more than solids	when heated								# Q 2465		bf32-fced-2fcc-6ab1	
			the			parts	of something		make up	that something 									# Q 2468		8842-4c4b-612e-eb6d	
						nerve cells			conduct	messages	in the body								# Q 2474		2284-9674-843e-f9f2	
						light			travels	fastest	through a vacuum								# Q 2478		b925-8bb9-3f88-f04c	
			a			person	with diabetes	should	be careful about eating or drinking	something that is high in sugar											c2e8-68f1-5e2e-e707	
			a			person		should	be careful about	something dangerous											e508-1667-1e46-8ba6	
		putting out	a			fire			stops	the burning								of that fire	# Q 2484		2f15-1978-bedd-7e41	
						iron	in contact with water and oxygen	will	rust										# Q 2488		6d3e-e79a-9d08-519b	
						genes		are able to	determine	the inherited characteristics								of a living thing	# Q 2492		c566-22fd-4845-1df2	
						atoms	in a gas		collide	frequently									# Q 2502		4fa0-330c-ebc8-3b4a	
						atoms	in a gas		move	independently	of one another								# Q 2502		5638-f921-3567-d1bf	
				most		chemical reactions			release or absorb	heat energy									# Q 2505		3c81-75ca-5724-f2eb	
						electrons			surround; orbit	the nucleus of an atom									# Q 2508		2818-8851-75ee-2bbf	
						water droplets			scatter	light									# Q 2543		02a2-ab22-286c-ff95	
			the			circulatory system			absorbs; carries	food; substances	from the digestive system to the rest of the body								#1234		d927-476d-d929-b720	
			the			equator			receives	the most direct sunlight	throughout the year								# Q 2720		6fd0-fd6f-9d28-4a64	
selective breeding	is when		an			organism			receives	selective genetic traits	from its parents	by	human design						#2379		231b-e81a-0f32-3c10	
			a			predator		usually	kills	its prey				to	eat it				#2385		952c-f654-fec2-8b06	
the tide	is when				ocean	levels		periodically	rise; fall										#2391		abe7-8ef7-d11e-25ca	
			a			galaxy		is	held together			by	gravity						#2398		f1cc-21ec-dccb-baab	
			a			mass production manufacturing system			makes	products			more cheaply					than a custom manufacturing system	# Q 2739		fad7-a1bb-9d59-339d	
						wheels; gears		usually	move	against other surfaces									#2604		da72-519d-898d-d79f	
						bacteria		can	show	significant trait changes	in the shortest period of time								#2630		4d1f-7c11-b39d-6694	
regulation	is when		an			organism			maintains	a stable internal environment									#2632		dc19-fb2e-ce6f-4a88	
			an		electrical	charge		can	attract	objects								to other objects	#2634		b931-0ef0-ada9-d9da	
				some		hormones			regulate	growth									#2642		5dd1-fe47-22b1-5587	
						traits		can be	determined			by	one pair; many pairs					of genes in an organism	#2646		b514-8bda-4ce6-d5c4	
		eating	oranges; lemons					can	prevent	scurvy									#2651		8874-d3e1-6fb8-c35a	
		using			moving	water	to produce electricity	may	disrupt	local ecosystems									#2654		b51f-8f89-a54a-72a4	
		hormones							regulate	body functions									#2659		ec83-cfcf-d106-10c1	
						matter; energy		is always	conserved		in any physical or chemical process								#2689		9693-e382-d3b7-f2de	
					nonrenewable	resources		will eventually	be depleted										#2694		87e4-0553-c70e-56fa	
			a		fixed	vise			exerts	compression	on	a piece of wood							#2837		f9eb-4767-b4e9-26cc	
			the			atmosphere	of a planet		holds	heat									#2842		a638-5da5-8a67-a55e	
genetic segregation	is when		each		sex	cell			receives	one copy								of each chromosome	#2846		d04d-153d-2125-e975	
					warm	ocean currents			move	to cooler ocean regions		by	convection						#2854		9735-bbb7-0940-71ac	
			a		moving	object		continues	to move		in the same direction at constant speed							unless additional forces are applied	#2855		54f4-dbc4-575a-15a7	
digestion	is when					food			is absorbed	into the blood stream									#2864		c3ab-8259-53c3-28eb	
						amphibians			lay	eggs									#2873		c0d2-2419-ede7-daef	
			a			human		cannot	survive	the loss of their liver									#2886		df74-c089-805f-77a8	
			a		new	plant			undergoes	early development									#2890		9bd6-98d4-6bbc-a930	
			a			seat belt			applies	force	in the opposite direction of the passenger's motion								#2906		1767-b5b0-075a-dddb	
